Time,Float_Position,Float_Angle,Posit_Position,Posit_Angle,Quire_Position,Quire_Angle
2.08,-0.0677831,-0.00393973,-0.0677831,-0.00393973,-0.0677831,-0.00393973
2.1,-0.0672285,-0.00380718,-0.0672285,-0.00380718,-0.0672285,-0.00380718
2.12,-0.0666643,-0.00367611,-0.0666643,-0.00367611,-0.0666643,-0.00367611
2.14,-0.0660908,-0.00354652,-0.0660908,-0.00354652,-0.0660908,-0.00354652
2.16,-0.0655084,-0.00341843,-0.0655083,-0.00341843,-0.0655083,-0.00341843
2.18,-0.0649174,-0.00329186,-0.0649173,-0.00329185,-0.0649173,-0.00329185
2.2,-0.0643182,-0.00316679,-0.0643181,-0.00316679,-0.0643181,-0.00316679
2.22,-0.0637111,-0.00304326,-0.0637111,-0.00304326,-0.0637111,-0.00304326
2.24,-0.0630966,-0.00292126,-0.0630965,-0.00292126,-0.0630965,-0.00292126
2.26,-0.0624749,-0.00280081,-0.0624748,-0.00280081,-0.0624748,-0.00280081
2.28,-0.0618463,-0.00268191,-0.0618463,-0.00268191,-0.0618463,-0.00268191
2.3,-0.0612113,-0.00256456,-0.0612112,-0.00256456,-0.0612112,-0.00256456
2.32,-0.06057,-0.00244878,-0.06057,-0.00244878,-0.06057,-0.00244878
2.34,-0.0599229,-0.00233456,-0.0599229,-0.00233456,-0.0599229,-0.00233456
2.36,-0.0592703,-0.00222192,-0.0592703,-0.00222191,-0.0592703,-0.00222191
2.38,-0.0586125,-0.00211085,-0.0586125,-0.00211084,-0.0586125,-0.00211084
2.4,-0.0579498,-0.00200135,-0.0579497,-0.00200135,-0.0579497,-0.00200135
2.42,-0.0572825,-0.00189344,-0.0572824,-0.00189344,-0.0572824,-0.00189344
2.44,-0.0566108,-0.00178711,-0.0566108,-0.00178711,-0.0566108,-0.00178711
2.46,-0.0559352,-0.00168236,-0.0559351,-0.00168236,-0.0559351,-0.00168236
2.48,-0.0552558,-0.0015792,-0.0552557,-0.0015792,-0.0552557,-0.0015792
2.5,-0.054573,-0.00147762,-0.0545729,-0.00147762,-0.0545729,-0.00147762
2.52,-0.053887,-0.00137763,-0.0538869,-0.00137762,-0.0538869,-0.00137762
